Iteration,QuCFTnet,CNN,LSTM,QNN
1,0.9096557992221364,0.7332804460973955,0.6565064887363855,0.6059740755760933
2,0.9149898029021947,0.7578429756449909,0.6774495217987678,0.5915630413808138
3,0.9256867963059304,0.7614280396004884,0.6810287811850454,0.6219652887272666
4,0.9323784580882911,0.7805948328759856,0.6970756531603233,0.6232072236354913
5,0.9321929987351701,0.7823200332846366,0.6897965682020755,0.6357028717791947
6,0.9384554605094776,0.7976466060953311,0.714821687188791,0.6377221749837368
7,0.9457188389320081,0.8033957970081208,0.719737842089523,0.653031390769878
8,0.9487360839373039,0.8165877168593692,0.7270754952266992,0.6752941552647475
9,0.9527987556333962,0.832545734593158,0.7389407694611845,0.678381580853882
10,0.9541983751918767,0.8254214575888217,0.7517672445984306,0.6960592785722314
11,0.9603879717924576,0.8461135361496926,0.769095872786151,0.6997680045760477
12,0.9626013631762881,0.8521329932253053,0.7615598765085554,0.7016898419715328
13,0.9633211756990613,0.853854528738083,0.7788211451874663,0.7196501063385821
14,0.9673445643307833,0.8550021001378474,0.7826010758671562,0.7164371354767738
15,0.9677111076267771,0.8699470947507174,0.7907199880445721,0.7264922982252283
16,0.9665528581038055,0.871778690982318,0.806713905183138,0.7241667809183773
17,0.9703352046978909,0.8814251665327862,0.8098164777938969,0.7334810988935409
18,0.968856225115297,0.8848906867781934,0.8214565854273255,0.7335274100660065
19,0.9735741640653716,0.898780903248966,0.8167635634434454,0.7529400791036869
20,0.9726427119148745,0.8918465645285922,0.8184433637785868,0.7412815921387423
21,0.9731935067329469,0.8909761534513223,0.8269510410396015,0.7624285404763266
22,0.9729292393466812,0.9017680004815328,0.8351648632664556,0.7598920889186686
23,0.9773817412085768,0.9053458288665474,0.8394113503892506,0.7758290740115391
24,0.9752001600091317,0.9152891109623783,0.8350629620398279,0.7773101572575654
25,0.9751603788862446,0.9150426604818851,0.84754703738194,0.7905225424980273
26,0.9757631594254481,0.9148753036401045,0.8525633783311086,0.7862752461218874
27,0.9779315067631877,0.924033301314952,0.8724426426754289,0.7721490650048429
28,0.977952067413149,0.9104699848622225,0.8716247927359059,0.7883176382836721
29,0.9783608723405718,0.915954320939348,0.856001912998887,0.7834432263856338
30,0.9786757442102324,0.9162755658533809,0.8632805700261111,0.7924835555682872
31,0.9823445777740857,0.921400289291573,0.8582039935773856,0.8123807199051081
32,0.9774676818596235,0.9172544271074339,0.8673150606838056,0.8089087073466913
33,0.977450465398528,0.9309808178221678,0.8765147615251138,0.8015966129619565
34,0.9770198572912878,0.9273800309900283,0.8854627533709247,0.8023254202128745
35,0.9800323126995129,0.9213276373381288,0.8745019695351657,0.8138171979211121
36,0.9811939539020463,0.9254008159603622,0.8774842973352653,0.8068199136134933
37,0.9788284300031102,0.9346264738650759,0.8693701985608774,0.8140631943818454
38,0.9774827223306009,0.9389406684060955,0.8854864389816215,0.8246953908172234
39,0.9776087164576523,0.9469799487264813,0.8813036183568942,0.8341003142166165
40,0.9806428058117278,0.9534968603922438,0.8870466918698199,0.8322821711994524
41,0.9809025778746638,0.9394457034862911,0.8865288525123637,0.8115358708210387
42,0.9805684086711473,0.9319036536699882,0.8938277979268674,0.8346590012600249
43,0.9782096446105703,0.9258706362007059,0.8839154955061894,0.8350657627332977
44,0.9800569281827174,0.9410356397447828,0.8875977673571863,0.8399772144978359
45,0.9798720451428724,0.9352663642487188,0.9143389546612575,0.8516870221045177
46,0.9801169093580908,0.9383181930389715,0.8919129772514688,0.8242606916924167
47,0.9814586280833987,0.9377590338445115,0.8946654439083082,0.8379682398138372
48,0.9801951021696738,0.9411661451242118,0.9165501882443197,0.8492790923219382
49,0.9811342443041408,0.9489468850069572,0.9253103300998654,0.8336811343188445
50,0.9799368579648444,0.9439968932175388,0.897994383997292,0.8598536545810781
51,0.9804023623203365,0.9425723446312988,0.9047785741621495,0.8526379525292932
52,0.9811065880098494,0.9377480383709369,0.9108515511744267,0.8580443061051867
53,0.9769473390233401,0.9343220719792937,0.9216120317233146,0.848222645869274
54,0.9792379527129395,0.9418329335177885,0.9036024017564749,0.8607593219979303
55,0.9789504252484106,0.9447829653142633,0.9097439753284601,0.8641987933555888
56,0.9786257212463967,0.956044127690274,0.9178064448711191,0.858860887803529
57,0.9793641072255755,0.9465267128812789,0.9162685094675632,0.8601671030597731
58,0.9829139548965055,0.9519291626696086,0.9114101736850313,0.8616979343769018
59,0.9782009959167433,0.9433051642795697,0.9138847245233424,0.8538229686912312
60,0.9818768298445127,0.939441354732788,0.9059374795147297,0.8606972050383592
61,0.9765812874798714,0.9409934893013379,0.9145986957187465,0.8617599557871669
62,0.9792832471242247,0.9426502421259948,0.9150710188758056,0.8671067509812472
63,0.9802838361106991,0.9599751273787306,0.9191980724359421,0.8730561158829273
64,0.9811354866708161,0.9424649948990802,0.9142916703145407,0.8575672418067498
65,0.9813896743612672,0.9526004782141319,0.9220562493866167,0.865975118511
66,0.9815576222842802,0.9423162938374048,0.9263928921783793,0.8797296508187922
67,0.9792767651394936,0.9534765002613091,0.9209135426044343,0.8627967163816733
68,0.9790524274230871,0.9503396156352105,0.9227840465703,0.8630008259894926
69,0.9816956687865115,0.9472232727228816,0.9211658528834054,0.8719980013431609
70,0.9795994019643024,0.9480427107368747,0.9212433495591676,0.877903962110065
71,0.9774326721992951,0.944474349779432,0.9166189482654706,0.8719794519954901
72,0.9777192746198137,0.9511874710956858,0.9242915803219983,0.8832299082449145
73,0.9781485446593099,0.9458818000455274,0.9217815664652665,0.8801349087974218
74,0.9809831899548626,0.9413519239420836,0.9374823554861158,0.8806706962115755
75,0.9802749786878141,0.9411254453222705,0.9341933380190841,0.8789989408165548
76,0.9813722143339487,0.9499101941495276,0.9262134020296076,0.8937924090595672
77,0.979137728500109,0.9584252936712435,0.9184874759650073,0.8741113369278679
78,0.9803101913742561,0.9499816318601331,0.9163429653768328,0.8602830994533631
79,0.9812450716729623,0.9483759925528497,0.9327541371567599,0.8896820551571786
80,0.9793758886216402,0.9508644481828241,0.9265277092982972,0.8737021213190518
81,0.9809087448750711,0.9570430014367372,0.9283085151782882,0.8787222360740583
82,0.9786718859329772,0.9505768983048625,0.91298182222467,0.8888116458686596
83,0.9792701120879862,0.9468450276983625,0.9319203885902996,0.8659745458277742
84,0.9792331714586203,0.9559949316471008,0.9288322250895621,0.8692188920142819
85,0.9776053470833271,0.9519731953115357,0.9180903573754889,0.8668440628153481
86,0.9809713075923487,0.9586557119451202,0.9227644442343121,0.8737068572281598
87,0.979058856182932,0.950578362572924,0.9281030447821565,0.8839667954279832
88,0.980022913609345,0.9421673675571784,0.9268068390166039,0.8850176778404557
89,0.9809596532877422,0.9413380708682988,0.9245680172779605,0.8833941577732313
90,0.980891430391787,0.9594832174946708,0.9260539731274481,0.8702275189702003
91,0.9813293227990276,0.9599481977028196,0.9251716690812345,0.8633809458775756
92,0.9798017452855623,0.9485557111837636,0.9281529052187736,0.8826157064842026
